"series","x","y","z","color"
"Extraction/Construction",0.411953983334218,0.696378461396255,225832,"#C4E5F0"
"Manufacturing",0.344609678600536,1.00815118150892,125344,"#D2ECF4"
"Wholesalers",0.256133325243209,1.03194307683109,67055,"#F7FCCC"
"Retailers",0.732680597736579,0.579704673174887,385460,"#9DCEE3"
"Transportation & Utilities",0.398361829690922,0.6567510790615,284100,"#313695"
"Information",0.346728359675702,1.59285487622901,174313,"#A50026"
"Financial",0.187987417809616,2.21055623248831,372692,"#F26841"
"Professional",0.319324786357881,1.42472895027818,718395,"#F7834D"
"Education/Health/Human Svcs",0.507662440883802,0.796007303961896,1191410,"#A8D7E7"
"Entertainment Svcs",0.794901598553921,0.555000160132575,444722,"#C9E8F1"
"Other Svcs",0.663321257221189,0.573676848268978,219673,"#9FCFE3"
"International Affairs",0.168263093117656,0.999342306089007,167825,"#A5D4E6"
